id,year,statename,pcname,candidate,sex,age,PC Type,category,party,symbol,general,postal,total,overelectors,overpolled,electors,rank,polled,win,runner,alliance
41,2004,ANDHRA PRADESH,Rajahmundry,S.B.P.B.K.SATYANARAYANA RAO,M,,GEN,GEN,IND,,,,99671,9.28%,12.21%,1074223,3,816276,0,0,OTHERS
42,2004,ANDHRA PRADESH,Rajahmundry,GURRALA PARAMJYOTHI,M,,GEN,SC,IND,,,,22598,2.10%,2.77%,1074223,4,816276,0,0,OTHERS
43,2004,ANDHRA PRADESH,Rajahmundry,PATAMSETTI V.V.S.V.PRASAD (BABU),M,,GEN,GEN,IND,,,,10192,0.95%,1.25%,1074223,5,816276,0,0,OTHERS
44,2004,ANDHRA PRADESH,Rajahmundry,DUGGIREDDY DHARMA REDDY,M,,GEN,GEN,IND,,,,4630,0.43%,0.57%,1074223,6,816276,0,0,OTHERS
45,2004,ANDHRA PRADESH,Amalapuram,G.V. HARSHA KUMAR,M,,SC,SC,INC,,,,350346,38.75%,49.74%,904207,1,704415,1,0,UPA
46,2004,ANDHRA PRADESH,Amalapuram,DUNNA JANARDHANA RAO,M,,SC,SC,TDP,,,,308861,34.16%,43.85%,904207,2,704415,0,1,OTHERS
47,2004,ANDHRA PRADESH,Amalapuram,MUNEESWARA RAO BHUPATI,M,,SC,SC,IND,,,,26699,2.95%,3.79%,904207,3,704415,0,0,OTHERS
48,2004,ANDHRA PRADESH,Amalapuram,YALANGI RAMESH,M,,SC,SC,IND,,,,9550,1.06%,1.36%,904207,4,704415,0,0,OTHERS
49,2004,ANDHRA PRADESH,Amalapuram,D. MURALIKRISHNA,M,,SC,SC,BSP,,,,8768,0.97%,1.24%,904207,5,704415,0,0,OTHERS
50,2004,ANDHRA PRADESH,Narasapur,CHEGONDI VENKATA HARIRAMA JOGAIAH,M,,GEN,GEN,INC,,,,402761,40.43%,52.38%,996175,1,768918,1,0,UPA
51,2004,ANDHRA PRADESH,Narasapur,UPPALAPATI VENKATAKRISHNAM RAJU,M,,GEN,GEN,BJP,,,,338349,33.96%,44.00%,996175,2,768918,0,1,NDA
52,2004,ANDHRA PRADESH,Narasapur,ALLURI YUGANDHARA  RAJU,M,,GEN,GEN,PPOI,,,,27427,2.75%,3.57%,996175,3,768918,0,0,OTHERS
53,2004,ANDHRA PRADESH,Eluru,KAVURU  SAMBA SIVA RAO,M,,GEN,GEN,INC,,,,499191,43.34%,55.65%,1151672,1,896961,1,0,UPA
54,2004,ANDHRA PRADESH,Eluru,BOLLA BULLI RAMAIAH,M,,GEN,GEN,TDP,,,,375900,32.64%,41.91%,1151672,2,896961,0,1,OTHERS
55,2004,ANDHRA PRADESH,Eluru,D.S.V.KRISHNAJI,M,,GEN,GEN,BSP,,,,8707,0.76%,0.97%,1151672,3,896961,0,0,OTHERS
56,2004,ANDHRA PRADESH,Eluru,B.N.V.SATYANARAYANA,M,,GEN,GEN,TRS,,,,4776,0.41%,0.53%,1151672,4,896961,0,0,UPA
57,2004,ANDHRA PRADESH,Eluru,S.V.SUBBARAO,M,,GEN,GEN,IND,,,,4736,0.41%,0.53%,1151672,5,896961,0,0,OTHERS
58,2004,ANDHRA PRADESH,Eluru,KODURI SRIRAMULU,M,,GEN,GEN,IND,,,,1904,0.17%,0.21%,1151672,6,896961,0,0,OTHERS
59,2004,ANDHRA PRADESH,Eluru,S.V.B.REDDY,M,,GEN,GEN,IND,,,,1732,0.15%,0.19%,1151672,7,896961,0,0,OTHERS
60,2004,ANDHRA PRADESH,Machilipatnam,BADIGA RAMAKRISHNA,M,,GEN,GEN,INC,,,,387127,38.97%,51.22%,993370,1,755759,1,0,UPA
61,2004,ANDHRA PRADESH,Machilipatnam,AMBATI BRAHMANAIAH,M,,GEN,GEN,TDP,,,,336786,33.90%,44.56%,993370,2,755759,0,1,OTHERS
62,2004,ANDHRA PRADESH,Machilipatnam,YENDURI SUBRAHMANYESWARA RAO (MANI),M,,GEN,GEN,IND,,,,18477,1.86%,2.44%,993370,3,755759,0,0,OTHERS
63,2004,ANDHRA PRADESH,Machilipatnam,ADAPALA SIVANNARAYANA,M,,GEN,GEN,PPOI,,,,6201,0.62%,0.82%,993370,4,755759,0,0,OTHERS
64,2004,ANDHRA PRADESH,Machilipatnam,DODDA KAMESWARA RAO,M,,GEN,GEN,IND,,,,4297,0.43%,0.57%,993370,5,755759,0,0,OTHERS
65,2004,ANDHRA PRADESH,Machilipatnam,B.S.RAO,M,,GEN,GEN,TRS,,,,2426,0.24%,0.32%,993370,6,755759,0,0,UPA
66,2004,ANDHRA PRADESH,Vijayawada,RAJAGOPAL LAGADAPATI,M,,GEN,GEN,INC,,,,519624,35.48%,54.93%,1464657,1,945954,1,0,UPA
67,2004,ANDHRA PRADESH,Vijayawada,ASWINI DUTT CHALASANI,M,,GEN,GEN,TDP,,,,405037,27.65%,42.82%,1464657,2,945954,0,1,OTHERS
68,2004,ANDHRA PRADESH,Vijayawada,NANDETI PRABHAKAR RAO,M,,GEN,SC,BSP,,,,6472,0.44%,0.68%,1464657,3,945954,0,0,OTHERS
69,2004,ANDHRA PRADESH,Vijayawada,KONERU VARA LAKSHMI,F,,GEN,GEN,PPOI,,,,5105,0.35%,0.54%,1464657,4,945954,0,0,OTHERS
70,2004,ANDHRA PRADESH,Vijayawada,SOMESWARA RAO MADALA,M,,GEN,GEN,IND,,,,3039,0.21%,0.32%,1464657,5,945954,0,0,OTHERS
71,2004,ANDHRA PRADESH,Vijayawada,SYED MOINUDDIN,M,,GEN,GEN,IND,,,,1443,0.10%,0.15%,1464657,6,945954,0,0,OTHERS
72,2004,ANDHRA PRADESH,Vijayawada,RAMACHANDRA RAO. J,M,,GEN,GEN,TRS,,,,1268,0.09%,0.13%,1464657,7,945954,0,0,UPA
73,2004,ANDHRA PRADESH,Vijayawada,DOMAKONDA RAVI KUMAR,M,,GEN,SC,IND,,,,1005,0.07%,0.11%,1464657,8,945954,0,0,OTHERS
74,2004,ANDHRA PRADESH,Vijayawada,JAKKA TARAKA MALLIKARJUNA RAO,M,,GEN,GEN,IND,,,,637,0.04%,0.07%,1464657,9,945954,0,0,OTHERS
75,2004,ANDHRA PRADESH,Vijayawada,APPARAO DAMALAPATI,M,,GEN,GEN,IND,,,,549,0.04%,0.06%,1464657,10,945954,0,0,OTHERS
76,2004,ANDHRA PRADESH,Vijayawada,GATLA VENKATA NARAYANA REDDY,M,,GEN,GEN,IND,,,,493,0.03%,0.05%,1464657,11,945954,0,0,OTHERS
77,2004,ANDHRA PRADESH,Vijayawada,DONEPUDI SRINIVAS,M,,GEN,GEN,IND,,,,482,0.03%,0.05%,1464657,12,945954,0,0,OTHERS
78,2004,ANDHRA PRADESH,Vijayawada,GOTTUMUKKALA SIVA PRASADARAJU,M,,GEN,GEN,IND,,,,396,0.03%,0.04%,1464657,13,945954,0,0,OTHERS
79,2004,ANDHRA PRADESH,Tenali,BALASHOWRY VALLABHANENI,M,,GEN,GEN,INC,,,,366843,41.68%,54.45%,880148,1,673781,1,0,UPA
80,2004,ANDHRA PRADESH,Tenali,UMMAREDDY VENKATESWARLU,M,,GEN,GEN,TDP,,,,288287,32.75%,42.79%,880148,2,673781,0,1,OTHERS
81,2004,ANDHRA PRADESH,Tenali,DILIP RAAJA DONEPUDI,M,,GEN,SC,BSP,,,,5694,0.65%,0.85%,880148,3,673781,0,0,OTHERS
82,2004,ANDHRA PRADESH,Tenali,VENKATESWARLU PALLA,M,,GEN,GEN,IND,,,,5679,0.65%,0.84%,880148,4,673781,0,0,OTHERS
83,2004,ANDHRA PRADESH,Tenali,NARASIMHA REDDY TERA,M,,GEN,GEN,TRS,,,,4183,0.48%,0.62%,880148,5,673781,0,0,UPA
84,2004,ANDHRA PRADESH,Tenali,DUGGIRALA RAJA  RAMKUMAR,M,,GEN,GEN,IND,,,,1623,0.18%,0.24%,880148,6,673781,0,0,OTHERS
85,2004,ANDHRA PRADESH,Tenali,MANDALI SUBRAHMANYAM,M,,GEN,GEN,IND,,,,1153,0.13%,0.17%,880148,7,673781,0,0,OTHERS
86,2004,ANDHRA PRADESH,Guntur,RAYAPATI  SAMBASIVA RAO,M,,GEN,GEN,INC,,,,466221,39.75%,56.73%,1172954,1,821761,1,0,UPA
87,2004,ANDHRA PRADESH,Guntur,Y. V. RAO,M,,GEN,GEN,TDP,,,,336429,28.68%,40.94%,1172954,2,821761,0,1,OTHERS
88,2004,ANDHRA PRADESH,Guntur,JUPALLI HANUMANTHA RAO GOUD,M,,GEN,GEN,BSP,,,,9375,0.80%,1.14%,1172954,3,821761,0,0,OTHERS
89,2004,ANDHRA PRADESH,Guntur,VENKATESWARLU GUNDI,M,,GEN,GEN,TRS,,,,5444,0.46%,0.66%,1172954,4,821761,0,0,UPA
90,2004,ANDHRA PRADESH,Guntur,MUVVA VENKAT RAO,M,,GEN,GEN,IND,,,,4009,0.34%,0.49%,1172954,5,821761,0,0,OTHERS
91,2004,ANDHRA PRADESH,Bapatla,DAGGUBATI PURANDARESWARI,F,,GEN,GEN,INC,,,,411099,43.32%,55.88%,948929,1,735716,1,0,UPA
92,2004,ANDHRA PRADESH,Bapatla,DAGGUBATI RAMANAIDU,M,,GEN,GEN,TDP,,,,317017,33.41%,43.09%,948929,2,735716,0,1,OTHERS
93,2004,ANDHRA PRADESH,Bapatla,CHELLAMALLA VENKATA REDDY,M,,GEN,GEN,TRS,,,,3753,0.40%,0.51%,948929,3,735716,0,0,UPA
94,2004,ANDHRA PRADESH,Bapatla,PRATHIPATI SRINIVASU,M,,GEN,GEN,IND,,,,2159,0.23%,0.29%,948929,4,735716,0,0,OTHERS
95,2004,ANDHRA PRADESH,Bapatla,INAGANTI APPARAO,M,,GEN,GEN,IND,,,,1434,0.15%,0.19%,948929,5,735716,0,0,OTHERS
96,2004,ANDHRA PRADESH,Narasaraopet,MEKAPATI RAJAMOHAN REDDY,M,,GEN,GEN,INC,,,,481310,38.35%,53.49%,1255040,1,899837,1,0,UPA
97,2004,ANDHRA PRADESH,Narasaraopet,MADDI LAKSHMAIAH,M,,GEN,GEN,TDP,,,,395055,31.48%,43.90%,1255040,2,899837,0,1,OTHERS
98,2004,ANDHRA PRADESH,Narasaraopet,PULIMAMIDI NARSIMHA REDDY,M,,GEN,GEN,TRS,,,,9622,0.77%,1.07%,1255040,3,899837,0,0,UPA
99,2004,ANDHRA PRADESH,Narasaraopet,GONTU VENKATESWARA REDDY,M,,GEN,GEN,IND,,,,8278,0.66%,0.92%,1255040,4,899837,0,0,OTHERS
100,2004,ANDHRA PRADESH,Narasaraopet,PULIMI VENKATARAMI REDDY,M,,GEN,GEN,IND,,,,5519,0.44%,0.61%,1255040,5,899837,0,0,OTHERS
101,2004,ANDHRA PRADESH,Ongole,SREENIVASULU REDDY MAGUNTA,M,,GEN,GEN,INC,,,,446584,41.97%,55.86%,1063995,1,799471,1,0,UPA
102,2004,ANDHRA PRADESH,Ongole,BATHULA VIJAYA BHARATHI,F,,GEN,GEN,TDP,,,,340563,32.01%,42.60%,1063995,2,799471,0,1,OTHERS
103,2004,ANDHRA PRADESH,Ongole,ALLA RAMA CHANDRA REDDY,M,,GEN,GEN,IND,,,,4741,0.45%,0.59%,1063995,3,799471,0,0,OTHERS
104,2004,ANDHRA PRADESH,Ongole,SATISH KUMAR,M,,GEN,GEN,IND,,,,2463,0.23%,0.31%,1063995,4,799471,0,0,OTHERS
105,2004,ANDHRA PRADESH,Ongole,RAMA RAO DAGGUPATI,M,,GEN,GEN,IND,,,,1041,0.10%,0.13%,1063995,5,799471,0,0,OTHERS
106,2004,ANDHRA PRADESH,Ongole,NALAMALAPU LAKSHMI NARASA REDDY,M,,GEN,GEN,IND,,,,986,0.09%,0.12%,1063995,6,799471,0,0,OTHERS
107,2004,ANDHRA PRADESH,Ongole,VENU BABU NAIDU KAVURI,M,,GEN,GEN,IND,,,,982,0.09%,0.12%,1063995,7,799471,0,0,OTHERS
108,2004,ANDHRA PRADESH,Ongole,GUDIPUDI NARASIMHA RAO,M,,GEN,GEN,IND,,,,896,0.08%,0.11%,1063995,8,799471,0,0,OTHERS
109,2004,ANDHRA PRADESH,Ongole,BOYALLA RANGANAYAKULU,M,,GEN,GEN,IND,,,,853,0.08%,0.11%,1063995,9,799471,0,0,OTHERS
110,2004,ANDHRA PRADESH,Nellore,PANABAKA LAKSHMI,F,,SC,SC,INC,,,,450129,39.03%,53.80%,1153181,1,836740,1,0,UPA
111,2004,ANDHRA PRADESH,Nellore,BALAKONDAIAH KARUPOTALA,M,,SC,SC,BJP,,,,321905,27.91%,38.47%,1153181,2,836740,0,1,NDA
112,2004,ANDHRA PRADESH,Nellore,MALAKONDAIAH.Y,M,,SC,SC,SP,,,,36085,3.13%,4.31%,1153181,3,836740,0,0,OTHERS
113,2004,ANDHRA PRADESH,Nellore,MARLAPATI  VEMAIAH,M,,SC,SC,BSP,,,,9395,0.81%,1.12%,1153181,4,836740,0,0,OTHERS
114,2004,ANDHRA PRADESH,Nellore,VENKATA RAM RAVINUTHALA,M,,SC,SC,IND,,,,5983,0.52%,0.72%,1153181,5,836740,0,0,OTHERS
115,2004,ANDHRA PRADESH,Nellore,DAVA PENCHALA RAO,M,,SC,SC,IND,,,,3884,0.34%,0.46%,1153181,6,836740,0,0,OTHERS
116,2004,ANDHRA PRADESH,Nellore,MANGALAPURI VENKATESWARLU,M,,SC,SC,BRPP,,,,3421,0.30%,0.41%,1153181,7,836740,0,0,OTHERS
117,2004,ANDHRA PRADESH,Nellore,OURUVURU KRISHNAIAH,M,,SC,SC,IND,,,,3415,0.30%,0.41%,1153181,8,836740,0,0,OTHERS
118,2004,ANDHRA PRADESH,Nellore,MADDELA BRAHMANAIDU,M,,SC,SC,IND,,,,2285,0.20%,0.27%,1153181,9,836740,0,0,OTHERS
119,2004,ANDHRA PRADESH,Tirupathi,CHINTA MOHAN,M,,SC,SC,INC,,,,510961,42.03%,60.06%,1215573,1,850803,1,0,UPA
120,2004,ANDHRA PRADESH,Tirupathi,DR. N. VENKATA SWAMY,M,,SC,SC,BJP,,,,311633,25.64%,36.63%,1215573,2,850803,0,1,NDA
121,2004,ANDHRA PRADESH,Tirupathi,K. ESWAR RAO,M,,SC,SC,TRS,,,,16508,1.36%,1.94%,1215573,3,850803,0,0,UPA
122,2004,ANDHRA PRADESH,Tirupathi,KATTAMANCHI PRABHAKAR,M,,SC,SC,IND,,,,11685,0.96%,1.37%,1215573,4,850803,0,0,OTHERS
123,2004,ANDHRA PRADESH,Chittoor,D.K. AUDIKESAVULU,M,,GEN,GEN,TDP,,,,454128,38.80%,51.81%,1170325,1,876594,1,0,OTHERS
124,2004,ANDHRA PRADESH,Chittoor,DR. RAVURI VENKATA SWAMY,M,,GEN,GEN,INC,,,,391990,33.49%,44.72%,1170325,2,876594,0,1,UPA
125,2004,ANDHRA PRADESH,Chittoor,S.SAHADEVA REDDY,M,,GEN,GEN,IND,,,,10431,0.89%,1.19%,1170325,3,876594,0,0,OTHERS
126,2004,ANDHRA PRADESH,Chittoor,A.MALLA RAO,M,,GEN,GEN,TRS,,,,10258,0.88%,1.17%,1170325,4,876594,0,0,UPA
127,2004,ANDHRA PRADESH,Chittoor,D.A NAGARAJU,M,,GEN,GEN,IND,,,,5532,0.47%,0.63%,1170325,5,876594,0,0,OTHERS
128,2004,ANDHRA PRADESH,Chittoor,SHAIK JEELANI BASHA,M,,GEN,GEN,IND,,,,3653,0.31%,0.42%,1170325,6,876594,0,0,OTHERS
129,2004,ANDHRA PRADESH,Rajampet,ANNAYYAGARI SAI PRATHAP,M,,GEN,GEN,INC,,,,369797,37.30%,53.47%,991369,1,691589,1,0,UPA
130,2004,ANDHRA PRADESH,Rajampet,GUNIPATI RAMAIAH,M,,GEN,GEN,TDP,,,,291712,29.43%,42.18%,991369,2,691589,0,1,OTHERS
131,2004,ANDHRA PRADESH,Rajampet,HAJI MD. AZAM SHAIK,M,,GEN,GEN,IND,,,,11919,1.20%,1.72%,991369,3,691589,0,0,OTHERS
132,2004,ANDHRA PRADESH,Rajampet,ASHOKA RAO PEECHARA,M,,GEN,GEN,TRS,,,,11247,1.13%,1.63%,991369,4,691589,0,0,UPA
133,2004,ANDHRA PRADESH,Rajampet,MUKKA NARASIMHA REDDY,M,,GEN,GEN,JP,,,,6654,0.67%,0.96%,991369,5,691589,0,0,OTHERS
134,2004,ANDHRA PRADESH,Cuddapah,Y.S. VIVEKANANDA REDDY,M,,GEN,GEN,INC,,,,461431,40.35%,56.29%,1143505,1,819757,1,0,UPA
135,2004,ANDHRA PRADESH,Cuddapah,VENKATA MYSURA REDDY MULE,M,,GEN,GEN,TDP,,,,329757,28.84%,40.23%,1143505,2,819757,0,1,OTHERS
136,2004,ANDHRA PRADESH,Cuddapah,T BHASKAR REDDY,M,,GEN,GEN,IND,,,,10250,0.90%,1.25%,1143505,3,819757,0,0,OTHERS
137,2004,ANDHRA PRADESH,Cuddapah,INDI REDDY THIMMA REDDY,M,,GEN,GEN,RJD,,,,5242,0.46%,0.64%,1143505,4,819757,0,0,UPA
138,2004,ANDHRA PRADESH,Cuddapah,VITTA SUBBA RAO,M,,GEN,GEN,IND,,,,3932,0.34%,0.48%,1143505,5,819757,0,0,OTHERS
139,2004,ANDHRA PRADESH,Cuddapah,KONDABOINA SREENIVASULU K,M,,GEN,GEN,PPOI,,,,1759,0.15%,0.21%,1143505,6,819757,0,0,OTHERS
140,2004,ANDHRA PRADESH,Cuddapah,C.BALAVARADA REDDY,M,,GEN,GEN,IND,,,,1115,0.10%,0.14%,1143505,7,819757,0,0,OTHERS
141,2004,ANDHRA PRADESH,Cuddapah,B.NARAYANA REDDY,M,,GEN,GEN,RPI,,,,903,0.08%,0.11%,1143505,8,819757,0,0,OTHERS
142,2004,ANDHRA PRADESH,Cuddapah,PUTHA RAMAPRASADA REDDY,M,,GEN,GEN,ANC,,,,825,0.07%,0.10%,1143505,9,819757,0,0,OTHERS
143,2004,ANDHRA PRADESH,Cuddapah,SIVANATHA REDDY CHADIPIRALLA,M,,GEN,GEN,NTRTDP(LP),,,,759,0.07%,0.09%,1143505,10,819757,0,0,OTHERS
144,2004,ANDHRA PRADESH,Cuddapah,C.GOPI NARASIMHA REDDY,M,,GEN,GEN,IND,,,,746,0.07%,0.09%,1143505,11,819757,0,0,OTHERS
145,2004,ANDHRA PRADESH,Cuddapah,G.RAVINDRANATHA REDDY,M,,GEN,GEN,JP,,,,731,0.06%,0.09%,1143505,12,819757,0,0,OTHERS
146,2004,ANDHRA PRADESH,Cuddapah,O.SUBBA REDDY,M,,GEN,GEN,ABJS,,,,649,0.06%,0.08%,1143505,13,819757,0,0,OTHERS
147,2004,ANDHRA PRADESH,Cuddapah,PECHARA VENKATESHWAR RAO,M,,GEN,GEN,TRS,,,,617,0.05%,0.08%,1143505,14,819757,0,0,UPA
148,2004,ANDHRA PRADESH,Cuddapah,N BHASKARA REDDY,M,,GEN,GEN,PP,,,,485,0.04%,0.06%,1143505,15,819757,0,0,OTHERS
149,2004,ANDHRA PRADESH,Hindupur,NIZAMODDIN,M,,GEN,GEN,INC,,,,419744,35.60%,48.34%,1179211,1,868270,1,0,UPA
150,2004,ANDHRA PRADESH,Hindupur,B.K.PARDHASARATHI,M,,GEN,GEN,TDP,,,,417904,35.44%,48.13%,1179211,2,868270,0,1,OTHERS
151,2004,ANDHRA PRADESH,Hindupur,B. SURENDER KUMAR,M,,GEN,GEN,TRS,,,,16907,1.43%,1.95%,1179211,3,868270,0,0,UPA
152,2004,ANDHRA PRADESH,Hindupur,SMT DESAI REDDY PRABHAVATHI,F,,GEN,GEN,IND,,,,13508,1.15%,1.56%,1179211,4,868270,0,0,OTHERS
153,2004,ANDHRA PRADESH,Anantapur,ANANTHA VENKATA RAMI REDDY,M,,GEN,GEN,INC,,,,458925,35.83%,52.37%,1280923,1,876376,1,0,UPA
154,2004,ANDHRA PRADESH,Anantapur,KALAVA SRINIVASULU,M,,GEN,GEN,TDP,,,,385521,30.10%,43.99%,1280923,2,876376,0,1,OTHERS
155,2004,ANDHRA PRADESH,Anantapur,GADDALA NAGABHUSHANAM,M,,GEN,SC,BSP,,,,9296,0.73%,1.06%,1280923,3,876376,0,0,OTHERS
156,2004,ANDHRA PRADESH,Anantapur,YATHAM POTHALAIAH,M,,GEN,GEN,IND,,,,7102,0.55%,0.81%,1280923,4,876376,0,0,OTHERS
