sl,year,statename,pcname,candidate,sex,party,total,overpolled,votesv,electors,polled,pollperc,rank,win,alliance
68,1991,ANDHRA PRADESH,ANAKAPALLI,POOSARLA TRIMURTHULU,M,IND,4428,0.76%,,911580,457804,50.22%,6,0,OTHERS
69,1991,ANDHRA PRADESH,ANAKAPALLI,BADDI SURANARAYANA,M,IND,3287,0.56%,,911580,457804,50.22%,7,0,OTHERS
70,1991,ANDHRA PRADESH,ANAKAPALLI,SURAYANARAYANA RAJU KUCHERLAPATHI,M,IND,432,0.07%,,911580,457804,50.22%,8,0,OTHERS
73,1991,ANDHRA PRADESH,KAKINADA,THOTA SUBBARAO,M,TDP,287357,48.85%,,981754,603429,61.46%,1,1,OTHERS
74,1991,ANDHRA PRADESH,KAKINADA,MANGAPATI PALLAMRAJU MALLIPUDI,M,INC,252040,42.85%,,981754,603429,61.46%,2,0,INC
75,1991,ANDHRA PRADESH,KAKINADA,RAO VENKATA MAHEEPATI RAMA RATNA RAO,M,BJP,20894,3.55%,,981754,603429,61.46%,3,0,BJP
76,1991,ANDHRA PRADESH,KAKINADA,THOTA RAMANJANEYULU,M,IPF,7287,1.24%,,981754,603429,61.46%,4,0,OTHERS
77,1991,ANDHRA PRADESH,KAKINADA,CHOKKA TATARAO,M,BSP,6776,1.15%,,981754,603429,61.46%,5,0,OTHERS
78,1991,ANDHRA PRADESH,KAKINADA,KOTHAM VENKATA SRINIVAS RAO (KOTI),M,IND,5362,0.91%,,981754,603429,61.46%,6,0,OTHERS
79,1991,ANDHRA PRADESH,KAKINADA,CHINITAPALLI KANAKARAO,M,JP,4526,0.77%,,981754,603429,61.46%,7,0,OTHERS
80,1991,ANDHRA PRADESH,KAKINADA,MADDUKURI SATYA SEVAK,M,IND,1453,0.25%,,981754,603429,61.46%,8,0,OTHERS
81,1991,ANDHRA PRADESH,KAKINADA,GIDLA SIMHACHALAM,M,IND,1046,0.18%,,981754,603429,61.46%,9,0,OTHERS
82,1991,ANDHRA PRADESH,KAKINADA,GURRAM KAMESWARAO,M,IND,982,0.17%,,981754,603429,61.46%,10,0,OTHERS
83,1991,ANDHRA PRADESH,KAKINADA,VADLAMANI VENKATA RAMANA,M,IND,514,0.09%,,981754,603429,61.46%,11,0,OTHERS
86,1991,ANDHRA PRADESH,RAJAHMUNDRY,KVR CHOWDARY,M,TDP,315556,51.54%,,973272,627882,64.51%,1,1,OTHERS
87,1991,ANDHRA PRADESH,RAJAHMUNDRY,JAMUNA (W),F,INC,253547,41.41%,,973272,627882,64.51%,2,0,INC
88,1991,ANDHRA PRADESH,RAJAHMUNDRY,KANTIPUDI SARVARAYUDU,M,BJP,23909,3.91%,,973272,627882,64.51%,3,0,BJP
89,1991,ANDHRA PRADESH,RAJAHMUNDRY,MOTHA VENKATARAO,M,IND,6674,1.09%,,973272,627882,64.51%,4,0,OTHERS
90,1991,ANDHRA PRADESH,RAJAHMUNDRY,GURUJAPU ATCHAIRAJU,M,IND,4891,0.80%,,973272,627882,64.51%,5,0,OTHERS
91,1991,ANDHRA PRADESH,RAJAHMUNDRY,VASAMSETTI SRIRAMARAO,M,BSP,2587,0.42%,,973272,627882,64.51%,6,0,OTHERS
92,1991,ANDHRA PRADESH,RAJAHMUNDRY,KOKA RAMA KRISHNA RAO,M,JP,1422,0.23%,,973272,627882,64.51%,7,0,OTHERS
93,1991,ANDHRA PRADESH,RAJAHMUNDRY,SATYAVATHI UDATHA (W),F,IND,962,0.16%,,973272,627882,64.51%,8,0,OTHERS
94,1991,ANDHRA PRADESH,RAJAHMUNDRY,BS RAO,M,IND,872,0.14%,,973272,627882,64.51%,9,0,OTHERS
95,1991,ANDHRA PRADESH,RAJAHMUNDRY,SRIRAMA KRISHNA (SRI RAM),M,IND,704,0.11%,,973272,627882,64.51%,10,0,OTHERS
96,1991,ANDHRA PRADESH,RAJAHMUNDRY,SS RAO,M,IND,477,0.08%,,973272,627882,64.51%,11,0,OTHERS
97,1991,ANDHRA PRADESH,RAJAHMUNDRY,SUNKARA VENKATA RAMANA MURTHY,M,IND,453,0.07%,,973272,627882,64.51%,12,0,OTHERS
98,1991,ANDHRA PRADESH,RAJAHMUNDRY,RAJA SUBBARAO,M,IND,210,0.03%,,973272,627882,64.51%,13,0,OTHERS
106,1991,ANDHRA PRADESH,AMALAPURAM (SC),BALAYOGI GMC,M,TDP,273490,53.19%,,836319,527366,63.06%,1,1,OTHERS
107,1991,ANDHRA PRADESH,AMALAPURAM (SC),KUSUNMA KRISHAN MURTHY,M,INC,186003,36.18%,,836319,527366,63.06%,2,0,INC
108,1991,ANDHRA PRADESH,AMALAPURAM (SC),JANGA RAMADASU,M,BJP,28468,5.54%,,836319,527366,63.06%,3,0,BJP
109,1991,ANDHRA PRADESH,AMALAPURAM (SC),NM RUSHI,M,IND,9198,1.79%,,836319,527366,63.06%,4,0,OTHERS
110,1991,ANDHRA PRADESH,AMALAPURAM (SC),NAKKA CHITTIBABU,M,IND,9109,1.77%,,912390,653526,71.63%,5,0,OTHERS
111,1991,ANDHRA PRADESH,AMALAPURAM (SC),GEDDADI SIVASANKAR,M,BSP,3100,0.60%,,912390,653526,71.63%,6,0,OTHERS
112,1991,ANDHRA PRADESH,AMALAPURAM (SC),CHUTTUGULLA VEERASWAMY,M,IND,1805,0.35%,,912390,653526,71.63%,7,0,OTHERS
113,1991,ANDHRA PRADESH,AMALAPURAM (SC),SURYANARAYANA MURTHY BADUGU,M,IND,1016,0.20%,,912390,653526,71.63%,8,0,OTHERS
114,1991,ANDHRA PRADESH,AMALAPURAM (SC),BONTHU RAMESH BABU,M,IND,827,0.16%,,912390,653526,71.63%,9,0,OTHERS
115,1991,ANDHRA PRADESH,AMALAPURAM (SC),RAPAKA JHANSI LAKSHMI BAI (W),F,IND,751,0.15%,,836319,527366,63.06%,10,0,OTHERS
116,1991,ANDHRA PRADESH,AMALAPURAM (SC),PRATURI DAMAYAN KUMAR,M,IND,377,0.07%,,836319,527366,63.06%,11,0,OTHERS
119,1991,ANDHRA PRADESH,NARASAPUR,VIJAYAKUMAR RAJU BHUPATHIRAJU,M,TDP,317703,51.93%,,933575,624696,66.91%,1,1,OTHERS
120,1991,ANDHRA PRADESH,NARASAPUR,KRISHNAM RAJU,M,INC,259154,42.36%,,933575,624696,66.91%,2,0,INC
121,1991,ANDHRA PRADESH,NARASAPUR,KURELLA RANGAYYA NAIDU (CHIRANJEEVI),M,BJP,28184,4.61%,,933575,624696,66.91%,3,0,BJP
122,1991,ANDHRA PRADESH,NARASAPUR,KOTIKALPUDI PAKEERAIH,M,JP,1962,0.32%,,933575,624696,66.91%,4,0,OTHERS
123,1991,ANDHRA PRADESH,NARASAPUR,SANTARAO GUDAPATI,M,BSP,1314,0.21%,,933575,624696,66.91%,5,0,OTHERS
124,1991,ANDHRA PRADESH,NARASAPUR,VENKATA RATNAM TEEPARTHY (W),F,IND,783,0.13%,,933575,624696,66.91%,6,0,OTHERS
125,1991,ANDHRA PRADESH,NARASAPUR,CHINTAPALLI GURU PRASADA RAO,M,IND,654,0.11%,,933575,624696,66.91%,7,0,OTHERS
126,1991,ANDHRA PRADESH,NARASAPUR,GUDDALA SATYANARAYANA,M,IND,495,0.08%,,933575,624696,66.91%,8,0,OTHERS
127,1991,ANDHRA PRADESH,NARASAPUR,ALLURI JAGANNADHA RAJU,M,IND,441,0.07%,,933575,624696,66.91%,9,0,OTHERS
128,1991,ANDHRA PRADESH,NARASAPUR,RAMABADRI RAJU MANTHENA,M,IND,328,0.05%,,933575,624696,66.91%,10,0,OTHERS
129,1991,ANDHRA PRADESH,NARASAPUR,VELURI VENKATA VENU,M,IND,270,0.04%,,933575,624696,66.91%,11,0,OTHERS
130,1991,ANDHRA PRADESH,NARASAPUR,VEGESNA BANGAR RAJU,M,IND,239,0.04%,,933575,624696,66.91%,12,0,OTHERS
131,1991,ANDHRA PRADESH,NARASAPUR,MANDELA SREERAMA KRISHNA RAO,M,MCPI,221,0.04%,,933575,624696,66.91%,13,0,OTHERS
134,1991,ANDHRA PRADESH,ELURU,BOLLA BULLIRAMAIAH,M,TDP,360312,52.45%,,987245,702949,71.20%,1,1,OTHERS
135,1991,ANDHRA PRADESH,ELURU,KRISHNA,M,INC,312657,45.51%,,987245,702949,71.20%,2,0,INC
136,1991,ANDHRA PRADESH,ELURU,NARSIMHA RAO KORADA,M,BJP,5607,0.82%,,987245,702949,71.20%,3,0,BJP
137,1991,ANDHRA PRADESH,ELURU,SAGIRAJU SURYANARAYANARAJU,M,IND,2400,0.35%,,972819,417271,42.89%,4,0,OTHERS
138,1991,ANDHRA PRADESH,ELURU,KURMANAIDU GEDELA,M,JP,2255,0.33%,,972819,417271,42.89%,5,0,OTHERS
139,1991,ANDHRA PRADESH,ELURU,GUDURI SARVESWARA RAO,M,IND,727,0.11%,,972819,417271,42.89%,6,0,OTHERS
140,1991,ANDHRA PRADESH,ELURU,BOMMI SIMHACHALAM,M,IND,640,0.09%,,972819,417271,42.89%,7,0,OTHERS
141,1991,ANDHRA PRADESH,ELURU,ADUSUMILLI SAROJINI (W),F,MCPI,570,0.08%,,987245,702949,71.20%,8,0,OTHERS
142,1991,ANDHRA PRADESH,ELURU,ANGAIJALA SATYANARAYANA,M,IND,408,0.06%,,972819,417271,42.89%,9,0,OTHERS
143,1991,ANDHRA PRADESH,ELURU,SIKILE DAVID PRABHAKAR,M,IND,375,0.05%,,987245,702949,71.20%,10,0,OTHERS
144,1991,ANDHRA PRADESH,ELURU,ANAPARTI PRAKASA RAO,M,IND,352,0.05%,,987245,702949,71.20%,11,0,OTHERS
145,1991,ANDHRA PRADESH,ELURU,KODURI SREERAMULU,M,IND,247,0.04%,,987245,702949,71.20%,12,0,OTHERS
146,1991,ANDHRA PRADESH,ELURU,SUNKAVALLI BRAHMANANDAM,M,IND,213,0.03%,,987245,702949,71.20%,13,0,OTHERS
147,1991,ANDHRA PRADESH,ELURU,POTLURI VISHNU SANKARA PRASAD,M,IND,196,0.03%,,987245,702949,71.20%,14,0,OTHERS
150,1991,ANDHRA PRADESH,MACHILIPATNAM,KP REDDAIAH,M,TDP,298348,49.02%,,908947,619254,68.13%,1,1,OTHERS
151,1991,ANDHRA PRADESH,MACHILIPATNAM,SAMBASIVA RAO KAVURI,M,INC,271026,44.53%,,908947,619254,68.13%,2,0,INC
152,1991,ANDHRA PRADESH,MACHILIPATNAM,KOLLIPARA DHANA LAKSHMI (W),F,BJP,24260,3.99%,,908947,619254,68.13%,3,0,BJP
153,1991,ANDHRA PRADESH,MACHILIPATNAM,SHIVA SANKARA VEERANJANEYULU THOTAKURA,M,IND,4420,0.73%,,908947,619254,68.13%,4,0,OTHERS
154,1991,ANDHRA PRADESH,MACHILIPATNAM,MARUMUDI VITOTOR PRASAD,M,BSP,1892,0.31%,,908947,619254,68.13%,5,0,OTHERS
160,1991,ANDHRA PRADESH,MACHILIPATNAM,ATHMURI SUSEELA (W),F,IND,1047,0.17%,,908947,619254,68.13%,6,0,OTHERS
161,1991,ANDHRA PRADESH,MACHILIPATNAM,THOTA KRISHNA BIPIN CHANDRA PAL,M,JP,965,0.16%,,908947,619254,68.13%,7,0,OTHERS
162,1991,ANDHRA PRADESH,MACHILIPATNAM,KOTA JAYAPAL CHOWDARY,M,IND,697,0.11%,,908947,619254,68.13%,8,0,OTHERS
163,1991,ANDHRA PRADESH,MACHILIPATNAM,ANAM RADHAKRISHNA MURTHY,M,IND,667,0.11%,,908947,619254,68.13%,9,0,OTHERS
164,1991,ANDHRA PRADESH,MACHILIPATNAM,MUNAGALA TIRUPATI REDDI,M,IND,615,0.10%,,908947,619254,68.13%,10,0,OTHERS
165,1991,ANDHRA PRADESH,MACHILIPATNAM,KUNAPAREDDY PITCHESWARA RAO,M,IND,497,0.08%,,908947,619254,68.13%,11,0,OTHERS
166,1991,ANDHRA PRADESH,MACHILIPATNAM,VENKATESWARARAO KAMINENI,M,NBP,487,0.08%,,908947,619254,68.13%,12,0,OTHERS
167,1991,ANDHRA PRADESH,MACHILIPATNAM,DODDA KAMESWARA RAO,M,IND,482,0.08%,,908947,619254,68.13%,13,0,OTHERS
168,1991,ANDHRA PRADESH,MACHILIPATNAM,KETHE MADHAVA CHAKRADHARA RAO,M,IND,428,0.07%,,908947,619254,68.13%,14,0,OTHERS
169,1991,ANDHRA PRADESH,MACHILIPATNAM,KANDIMALLA VEERA RAGHAIAH,M,IND,381,0.06%,,908947,619254,68.13%,15,0,OTHERS
170,1991,ANDHRA PRADESH,MACHILIPATNAM,BHAVANI SANKARA RAO KIRLAMPALLI,M,IND,372,0.06%,,908947,619254,68.13%,16,0,OTHERS
171,1991,ANDHRA PRADESH,MACHILIPATNAM,YENDURI SUBRAHMANYES WARA RAO,M,IND,308,0.05%,,908947,619254,68.13%,17,0,OTHERS
172,1991,ANDHRA PRADESH,MACHILIPATNAM,BADUGU BABU RAO,M,IND,306,0.05%,,908947,619254,68.13%,18,0,OTHERS
173,1991,ANDHRA PRADESH,MACHILIPATNAM,MANEYPALLI NAGA SITA RAMANJANEYULU,M,IND,253,0.04%,,908947,619254,68.13%,19,0,OTHERS
174,1991,ANDHRA PRADESH,MACHILIPATNAM,SALAPATI LAKSHMIPATI,M,IND,227,0.04%,,908947,619254,68.13%,20,0,OTHERS
175,1991,ANDHRA PRADESH,MACHILIPATNAM,YELLAMRAJU GANAPATHI BOSE,M,IND,203,0.03%,,908947,619254,68.13%,21,0,OTHERS
176,1991,ANDHRA PRADESH,MACHILIPATNAM,PANDALANENI SRIMANNARAYANA,M,IND,198,0.03%,,908947,619254,68.13%,22,0,OTHERS
177,1991,ANDHRA PRADESH,MACHILIPATNAM,PAPPALA RADHA KRISHNA,M,IND,182,0.03%,,908947,619254,68.13%,23,0,OTHERS
178,1991,ANDHRA PRADESH,MACHILIPATNAM,VENKATA NACHARAIAH TADIKONDA,M,IND,179,0.03%,,908947,619254,68.13%,24,0,OTHERS
179,1991,ANDHRA PRADESH,MACHILIPATNAM,KOTE DEVANANDAM,M,IND,152,0.02%,,908947,619254,68.13%,25,0,OTHERS
182,1991,ANDHRA PRADESH,VIJAYAWADA,VADDE SOBHANDRESWARA RAO,M,TDP,326890,48.89%,,1104724,682314,61.76%,1,1,OTHERS
183,1991,ANDHRA PRADESH,VIJAYAWADA,CHENNUPATI VIDYA (W),F,INC,290669,43.47%,,1104724,682314,61.76%,2,0,INC
184,1991,ANDHRA PRADESH,VIJAYAWADA,VELAGAPUDI SIVA PRASAD,M,BJP,28010,4.19%,,1104724,682314,61.76%,3,0,BJP
185,1991,ANDHRA PRADESH,VIJAYAWADA,JOGI RAMAKRISHNA,M,IND,11657,1.74%,,1104724,682314,61.76%,4,0,OTHERS
186,1991,ANDHRA PRADESH,VIJAYAWADA,PADAMATA BRAHMAIAH,M,BSP,1872,0.28%,,1104724,682314,61.76%,5,0,OTHERS
187,1991,ANDHRA PRADESH,VIJAYAWADA,YALAMANCHILI RAMA KRISHNA,M,IND,1669,0.25%,,1104724,682314,61.76%,6,0,OTHERS
188,1991,ANDHRA PRADESH,VIJAYAWADA,YARLAGADDA KRISHNA MURTHY,M,IND,1592,0.24%,,1104724,682314,61.76%,7,0,OTHERS
189,1991,ANDHRA PRADESH,VIJAYAWADA,YV HANUMANTHA RAO,M,JP,1181,0.18%,,1104724,682314,61.76%,8,0,OTHERS
190,1991,ANDHRA PRADESH,VIJAYAWADA,VIJAYA VENKATA RAO VELLANKI,M,IND,1072,0.16%,,1104724,682314,61.76%,9,0,OTHERS
191,1991,ANDHRA PRADESH,VIJAYAWADA,MOHEMMAD GHOUSE,M,IND,773,0.12%,,1104724,682314,61.76%,10,0,OTHERS
192,1991,ANDHRA PRADESH,VIJAYAWADA,VAGICHERLA HARI NARAYANA,M,IND,724,0.11%,,1104724,682314,61.76%,11,0,OTHERS
193,1991,ANDHRA PRADESH,VIJAYAWADA,KOMMINENI SAMBASIVA RAO ALIAS BADE SAMBASIVA RAO,M,IND,693,0.10%,,1104724,682314,61.76%,12,0,OTHERS
194,1991,ANDHRA PRADESH,VIJAYAWADA,KRISTU BHAGAVANDAS NETHALA,M,IND,558,0.08%,,1104724,682314,61.76%,13,0,OTHERS
195,1991,ANDHRA PRADESH,VIJAYAWADA,KOTA SANKARA SHARMA,M,IND,356,0.05%,,1104724,682314,61.76%,14,0,OTHERS
196,1991,ANDHRA PRADESH,VIJAYAWADA,KALAPALA PRAKASH RAO,M,NBP,300,0.04%,,1104724,682314,61.76%,15,0,OTHERS
197,1991,ANDHRA PRADESH,VIJAYAWADA,YALAMARTHI SATYANARAYANA,M,MSD,281,0.04%,,1104724,682314,61.76%,16,0,OTHERS
198,1991,ANDHRA PRADESH,VIJAYAWADA,KUNUKU SATYANARAYANA,M,IND,186,0.03%,,1104724,682314,61.76%,17,0,OTHERS
199,1991,ANDHRA PRADESH,VIJAYAWADA,MOSES BOPPURI,M,BKUS,164,0.02%,,1104724,682314,61.76%,18,0,OTHERS
202,1991,ANDHRA PRADESH,TENALI,UMMAREDDY VENKATESWARLU,M,TDP,252900,47.74%,,888033,539963,60.80%,1,1,OTHERS
203,1991,ANDHRA PRADESH,TENALI,BASAVAPUNNAIAH SINGAM,M,INC,242729,45.82%,,888033,539963,60.80%,2,0,INC
204,1991,ANDHRA PRADESH,TENALI,ALLA NAUROJI REDDY,M,BJP,25434,4.80%,,888033,539963,60.80%,3,0,BJP
205,1991,ANDHRA PRADESH,TENALI,OTTIPROLU JOHNSON,M,IND,5845,1.10%,,888033,539963,60.80%,4,0,OTHERS
206,1991,ANDHRA PRADESH,TENALI,NEMALIKANTI RUTHU (W),F,BSP,1224,0.23%,,888033,539963,60.80%,5,0,OTHERS
207,1991,ANDHRA PRADESH,TENALI,KONDAMUDI RAJASEKHAR,M,IND,785,0.15%,,888033,539963,60.80%,6,0,OTHERS
208,1991,ANDHRA PRADESH,TENALI,KAMARAJUGADDA SRINIVAS,M,IND,377,0.07%,,888033,539963,60.80%,7,0,OTHERS
209,1991,ANDHRA PRADESH,TENALI,RACHABATHUNI SRIGIRIMURTHY,M,IND,251,0.05%,,888033,539963,60.80%,8,0,OTHERS
215,1991,ANDHRA PRADESH,TENALI,AMERIENENI VEERARAGHAVAIAH,M,IND,193,0.04%,,888033,539963,60.80%,9,0,OTHERS
218,1991,ANDHRA PRADESH,GUNTUR,LAL JAN BASHA SM,M,TDP,307073,47.55%,,1114537,658179,59.05%,1,1,OTHERS
219,1991,ANDHRA PRADESH,GUNTUR,NG RANGA,M,INC,292329,45.27%,,1114537,658179,59.05%,2,0,INC
220,1991,ANDHRA PRADESH,GUNTUR,HANUMANTHA RAO MUDDANA,M,BJP,25049,3.88%,,1114537,658179,59.05%,3,0,BJP
221,1991,ANDHRA PRADESH,GUNTUR,GUDAPATI VENKATESWARLU,M,IND,9077,1.41%,,1114537,658179,59.05%,4,0,OTHERS
222,1991,ANDHRA PRADESH,GUNTUR,ANKAIAH MEDURI,M,JP,1742,0.27%,,998174,372046,37.27%,5,0,OTHERS
223,1991,ANDHRA PRADESH,GUNTUR,UPPUTHOLLA JANAKI RAJU,M,BSP,1644,0.25%,,998174,372046,37.27%,6,0,OTHERS
224,1991,ANDHRA PRADESH,GUNTUR,LANKA RAMA MOHANA RAO,M,IND,1447,0.22%,,998174,372046,37.27%,7,0,OTHERS
225,1991,ANDHRA PRADESH,GUNTUR,SIKHA RAJA GOPALA RAO,M,IND,1435,0.22%,,998174,372046,37.27%,8,0,OTHERS
226,1991,ANDHRA PRADESH,GUNTUR,CHILUKA THEOPHILUS,M,IND,930,0.14%,,998174,372046,37.27%,9,0,OTHERS
227,1991,ANDHRA PRADESH,GUNTUR,GAZULA SRAVAN KUMAR,M,IND,712,0.11%,,1114537,658179,59.05%,10,0,OTHERS
228,1991,ANDHRA PRADESH,GUNTUR,KASU RADHA KRISHNA REDDY,M,RPK,569,0.09%,,1114537,658179,59.05%,11,0,OTHERS
229,1991,ANDHRA PRADESH,GUNTUR,KANNA SURYANARAYANA,M,IND,568,0.09%,,1114537,658179,59.05%,12,0,OTHERS
230,1991,ANDHRA PRADESH,GUNTUR,GANGADHARA KOTESWARA RAO DIDUGU,M,IND,512,0.08%,,1114537,658179,59.05%,13,0,OTHERS
